domain,domain_category,domain_is_control,date,start_time,end_time,retry,server_ip,server_netblock,server_asn,server_as_name,server_as_full_name,server_as_class,server_country,server_organization,received_error,received_tls_version,received_tls_cipher_suite,received_tls_cert,received_tls_cert_matches_domain,received_tls_cert_common_name,received_tls_cert_issuer,received_tls_cert_alternative_names,received_status,received_headers,received_body,is_known_blockpage,page_signature,outcome,matches_template,no_response_in_measurement_matches_template,controls_failed,stateful_block,measurement_id,source
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-07-21,2022-07-21 06:00:57.931935 UTC,2022-07-21 06:00:58.370829 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,4d0ff8a5713154a98218bf5fb1b127af,CP_Quack-http-2022-07-21-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-07-21,2022-07-21 06:01:07.906780 UTC,2022-07-21 06:01:08.315776 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,bf51cd1de6f25b19ab47715764e08f72,CP_Quack-http-2022-07-21-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-12-26,2022-12-26 07:02:18.103468 UTC,2022-12-26 07:02:18.595453 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,d46a141051f05b3db598bcbddaaf488b,CP_Quack-http-2022-12-26-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-12-26,2022-12-26 07:02:28.079729 UTC,2022-12-26 07:02:28.567582 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,36c4c6b55a31534ca4c3de7385961c4d,CP_Quack-http-2022-12-26-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-03-30,2023-03-30 06:01:27.945412 UTC,2023-03-30 06:01:28.451890 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,4b80a965902b5bbbb39b88d76132fc57,CP_Quack-http-2023-03-30-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-08-06,2023-08-06 06:01:47.556083 UTC,2023-08-06 06:01:47.984413 UTC,0,216.250.9.185,216.250.8.0/21,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,,,,,,,,,[],,[],,,,expected/match,true,false,false,false,2476283f105e577e8f3b43653023e7a0,CP_Quack-http-2023-08-06-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-07-02,2023-07-02 06:01:17.937905 UTC,2023-07-02 06:01:18.329216 UTC,0,216.250.9.185,216.250.8.0/21,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,,,,,,,,,[],,[],,,,expected/match,true,false,false,false,9a4d754ae4c150b9a00f0c82ebcc65c0,CP_Quack-http-2023-07-02-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2023-02-27,2023-02-27 07:01:17.908938 UTC,2023-02-27 07:01:18.405882 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,9276e2a4880059348807134059815e22,CP_Quack-http-2023-02-27-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-02-17,2022-02-17 22:21:21.762073 UTC,2022-02-17 22:21:22.158921 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,51b241c8dccb53e187501eb7267e46bf,CP_Quack-http-2022-02-17-16-19-52
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-02-17,2022-02-17 22:21:01.750231 UTC,2022-02-17 22:21:02.150614 UTC,0,95.85.120.184,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,3b04c9a4d89754d7be0b8a1557d32215,CP_Quack-http-2022-02-17-16-19-52
