date,fingerprint,type,bytes,num_instances,coverage
2023-04-13,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,3676195021813.00,12.00,12.00
2023-04-13,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,3667439447381.91,12.00,12.00
2023-04-14,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,14650057230.01,12.00,12.00
2023-04-14,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,285001983274.67,12.00,12.00
2023-04-14,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27108790732558.32,12.00,12.00
2023-04-14,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27197587545112.20,12.00,12.00
2023-04-14,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2434881234.16,12.00,12.00
2023-04-14,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,56710515079.43,12.00,12.00
2023-04-14,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,4339633050123.29,12.00,12.00
2023-04-14,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,4330703938646.91,12.00,12.00
2023-04-15,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15101801742.65,12.00,12.00
2023-04-15,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,292094545886.86,12.00,12.00
2023-04-15,5481936581E23D2D178105D44DB6915AB06BFB7F,read,26705373952154.62,12.00,12.00
2023-04-15,5481936581E23D2D178105D44DB6915AB06BFB7F,write,26797341295332.01,12.00,12.00
2023-04-15,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2504396940.79,12.00,12.00
2023-04-15,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,59088053016.69,12.00,12.00
2023-04-15,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,4649054800682.75,12.00,12.00
2023-04-15,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,4633879784403.29,12.00,12.00
2023-04-16,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,17338678355.01,12.00,12.00
2023-04-16,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,318337849756.23,12.00,12.00
2023-04-16,5481936581E23D2D178105D44DB6915AB06BFB7F,read,26604801797666.63,12.00,12.00
2023-04-16,5481936581E23D2D178105D44DB6915AB06BFB7F,write,26721159375291.38,12.00,12.00
2023-04-16,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2611414833.87,12.00,12.00
2023-04-16,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,63404646884.14,12.00,12.00
2023-04-16,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,4988052970451.54,12.00,12.00
2023-04-16,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,4970945702407.96,12.00,12.00
2023-04-17,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,18018725758.27,12.00,12.00
2023-04-17,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,327181125853.99,12.00,12.00
2023-04-17,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27163263013125.17,12.00,12.00
2023-04-17,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27287274377627.64,12.00,12.00
2023-04-17,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2709149133.65,12.00,12.00
2023-04-17,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,65195272485.37,12.00,12.00
2023-04-17,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5221384084992.96,12.00,12.00
2023-04-17,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5202175687789.46,12.00,12.00
2023-04-18,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16861153163.88,12.00,12.00
2023-04-18,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,312284896060.23,12.00,12.00
2023-04-18,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27278156170521.93,12.00,12.00
2023-04-18,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27386864317123.62,12.00,12.00
2023-04-18,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2595276474.76,12.00,12.00
2023-04-18,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,64597532322.95,12.00,12.00
2023-04-18,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5260785678328.72,12.00,12.00
2023-04-18,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5240498413732.93,12.00,12.00
2023-04-19,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16489989677.75,12.00,12.00
2023-04-19,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,307755433976.65,12.00,12.00
2023-04-19,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27484620900032.95,12.00,12.00
2023-04-19,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27585682845664.48,12.00,12.00
2023-04-19,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2501871499.15,12.00,12.00
2023-04-19,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,63871156635.65,12.00,12.00
2023-04-19,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5316437037861.83,12.00,12.00
2023-04-19,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5297310280091.03,12.00,12.00
2023-04-20,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16393450680.79,12.00,12.00
2023-04-20,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,316903294904.60,12.00,12.00
2023-04-20,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27660632468971.73,12.00,12.00
2023-04-20,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27773692372092.38,12.00,12.00
2023-04-20,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2694945863.60,12.00,12.00
2023-04-20,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,70184568105.65,12.00,12.00
2023-04-20,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5373088136777.94,12.00,12.00
2023-04-20,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5366057556686.98,12.00,12.00
2023-04-21,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15634407642.74,12.00,12.00
2023-04-21,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,300309437457.68,12.00,12.00
2023-04-21,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27754675733491.70,12.00,12.00
2023-04-21,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27851589116210.18,12.00,12.00
2023-04-21,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2565019544.07,12.00,12.00
2023-04-21,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,63584372115.84,12.00,12.00
2023-04-21,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5508483983059.50,12.00,12.00
2023-04-21,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5491903456890.62,12.00,12.00
2023-04-22,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15066646797.06,12.00,12.00
2023-04-22,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,285775354260.17,12.00,12.00
2023-04-22,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27853250438644.67,12.00,12.00
2023-04-22,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27933165875530.22,12.00,12.00
2023-04-22,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2536340588.07,12.00,12.00
2023-04-22,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,59720212174.09,12.00,12.00
2023-04-22,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5668128058710.90,12.00,12.00
2023-04-22,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5644920021687.23,12.00,12.00
2023-04-23,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,17125660402.56,12.00,12.00
2023-04-23,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,314889840361.15,12.00,12.00
2023-04-23,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27069721743472.73,12.00,12.00
2023-04-23,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27183773281479.18,12.00,12.00
2023-04-23,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2797544938.16,12.00,12.00
2023-04-23,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,66539635581.94,12.00,12.00
2023-04-23,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5929802509865.03,12.00,12.00
2023-04-23,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5925099042837.05,12.00,12.00
2023-04-24,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,18827117052.44,12.00,12.00
2023-04-24,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,344168974125.53,12.00,12.00
2023-04-24,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27067550895444.34,12.00,12.00
2023-04-24,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27212896301672.06,12.00,12.00
2023-04-24,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2959572294.45,12.00,12.00
2023-04-24,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,76649679614.61,12.00,12.00
2023-04-24,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5933750782942.00,12.00,12.00
2023-04-24,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,5937635313048.08,12.00,12.00
2023-04-25,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,16758742606.25,12.00,12.00
2023-04-25,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,319641489065.60,12.00,12.00
2023-04-25,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27069703966076.78,12.00,12.00
2023-04-25,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27193251610129.99,12.00,12.00
2023-04-25,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2748300177.83,12.00,12.00
2023-04-25,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,70514787955.43,12.00,12.00
2023-04-25,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,5904303957869.91,12.00,12.00
