date,fingerprint,transport,users,num_instances,coverage
2017-07-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-07-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-07-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-07-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-07-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-31,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-07-31,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.26,1.00,0.82
2017-08-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-08-01,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.14,1.00,1.00
2017-08-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-08-02,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.68
2017-08-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.20,1.00,1.00
2017-08-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-08-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-08-06,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.26,1.00,0.82
2017-08-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-08-07,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.14,1.00,0.68
2017-08-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-08-08,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.26,1.00,0.82
