date,transport,users,frac
2018-07-29,snowflake,1.20,100.00
2018-07-30,snowflake,1.45,100.00
2018-07-31,snowflake,1.75,100.00
2018-08-01,snowflake,0.95,100.00
2018-08-02,snowflake,0.40,100.00
2018-08-03,snowflake,0.40,100.00
2018-08-04,snowflake,0.40,100.00
2018-08-05,snowflake,0.40,100.00
2018-08-06,snowflake,0.40,100.00
2018-08-07,snowflake,0.40,100.00
2018-08-08,snowflake,0.40,100.00
2018-08-09,snowflake,0.90,100.00
2018-08-10,snowflake,1.50,100.00
2018-08-11,snowflake,0.40,100.00
2018-08-12,snowflake,0.65,100.00
2018-08-13,snowflake,1.20,100.00
2018-08-14,snowflake,0.95,100.00
2018-08-15,snowflake,0.65,100.00
2018-08-16,snowflake,1.20,100.00
2018-08-17,snowflake,1.20,100.00
2018-08-18,snowflake,1.45,100.00
2018-08-19,snowflake,1.75,100.00
2018-08-20,snowflake,0.95,100.00
2018-08-21,snowflake,0.90,100.00
2018-08-22,snowflake,2.25,100.00
2018-08-23,snowflake,2.55,100.00
2018-08-24,snowflake,2.25,100.00
2018-08-25,snowflake,2.55,100.00
2018-08-26,snowflake,2.00,100.00
2018-08-27,snowflake,2.76,100.00
2018-08-28,snowflake,3.90,100.00
2018-08-29,snowflake,2.30,100.00
2018-08-30,snowflake,1.20,100.00
2018-08-31,snowflake,1.20,100.00
2018-09-01,snowflake,1.20,100.00
2018-09-02,snowflake,1.20,100.00
2018-09-03,snowflake,1.20,100.00
2018-09-04,snowflake,1.45,100.00
2018-09-05,snowflake,2.00,100.00
2018-09-06,snowflake,1.75,100.00
2018-09-07,snowflake,1.70,100.00
2018-09-08,snowflake,2.55,100.00
2018-09-09,snowflake,1.75,100.00
2018-09-10,snowflake,1.20,100.00
2018-09-11,snowflake,1.45,100.00
2018-09-12,snowflake,1.75,100.00
2018-09-13,snowflake,1.45,100.00
2018-09-14,snowflake,2.25,100.00
2018-09-15,snowflake,2.80,100.00
2018-09-16,snowflake,2.80,100.00
2018-09-17,snowflake,2.80,100.00
2018-09-18,snowflake,2.30,100.00
2018-09-19,snowflake,1.70,100.00
2018-09-20,snowflake,2.80,100.00
2018-09-21,snowflake,2.30,100.00
2018-09-22,snowflake,1.70,100.00
2018-09-23,snowflake,3.05,100.00
2018-09-24,snowflake,3.10,100.00
2018-09-25,snowflake,2.25,100.00
2018-09-26,snowflake,2.80,100.00
2018-09-27,snowflake,2.55,100.00
2018-09-28,snowflake,2.25,100.00
2018-09-29,snowflake,2.80,100.00
2018-09-30,snowflake,2.80,100.00
2018-10-01,snowflake,3.81,100.00
2018-10-02,snowflake,4.74,100.00
2018-10-03,snowflake,2.00,100.00
2018-10-04,snowflake,2.00,100.00
2018-10-05,snowflake,2.25,100.00
